Genre,Year,Title,From,Extras,Remarks
Drama,2012,And While We Were Here,,,
Biography|Crime|Drama  ,2013,Blue Caprice,,,
Comedy|Crime,2013,We're the Millers,,,
Drama,2013,I lossens time,,,
Drama,2012, K-11 aka Cell Block 11,,,
Biography|Comedy|Crime,2010,Casino Jack,,,
Crime|Drama|Thriller,2013,Runner Runner,,,
Biography|Drama ,2013,The Butler,DVD,,
Drama|Romance,2013,The Lifeguard,,,
Crime|Drama|Thriller ,2013,Out of the Furnace,,,
Action|Thriller,2013,A Common Man,,,
Drama|Romance ,2013,Before Midnight,,,
Adventure|Drama ,2013,Faro,,,
Action|Comedy|Crime ,2013,R.I.P.D.,,,
Drama|Thriller ,2013,The Truth About Emanuel,,,
,,,,,
,,,,,
,,,,,
,,,,,
Crime|Drama|Mystery ,2013,The Bridge US,,,
,,,,,
,,,,,
,,,,,
,,,,,
Thriller,2012,Fin,,,
Action|Adventure|Fantasy ,2013,The Wolverine,,,
Drama,2013,Jag etter vind,,,
Action|Adventure|Drama,2013,All Is Lost,,,
Drama|Fantasy|Romance ,2013,About Time,,,
Biography|Drama|History,2013,12 Years a Slave,DVD,,
Drama|Horror,2013,Carrie,,,
Crime,2013,Fjällbackamorden: Ljusets drottning,,,
Drama,2013,De Prooi miniserie,,,
Action|Mystery|Thriller,2013,Escape Plan,,,
Crime|Drama|Thriller ,2013,The Counselor,DVD,,
Biography|Drama|Romance ,2013,Diana,,,
Comedy,2013,Last Vegas,,,
Comedy,2013,The Internship,,,
Comedy|Fantasy ,2013,This Is the End,,,
Biography|Drama|Thriller ,2013,Captain Phillips,,,
Biography|Comedy|Crime ,2013,The Wolf of Wall Street ,,,
Biography|Drama|History ,2013,Mandela: Long Walk to Freedom,,,
Documentary ,2010,Bébé(s),,,
Western ,2011,Love's Everlasting Courage,,,
"Drama, History, Sport ",2005,The Greatest Game Ever Played,,,
"Musical, Action, Crime",2005,State Property 2/State Property: Blood on the Streets,,,
"Drama, Horror, Mystery ",2005,Cry Wolf,,,
Drama,2000,Pay It Forward,Yes,,
"Drama, Thriller ",2003,Runaway Jury,,,
Crime|Drama|Mystery|Thriller,2001,The Pledge,DVD,Yes,
Drama|Romance,2009,The Private Lives of Pippa Lee,DVD,Yes,
"Action, Adventure, Romance ",2003,Boys on the Run,,,
Comedy,2010-2013,Hot in Cleveland,DVDR,,
Drama|Family|Fantasy ,2003,Finding John Christmas,TV,NA,
Comedy|Romance,2000,Personally Yours,TV,NA,
Drama,1996,Two Mothers for Zachary,TV,NA,
Drama,1996,A Case for Life,TV,NA,
Horror|Thriller ,1995,The Haunting of Helen Walker,DVDR,,flah-video
Drama|Thriller,1991,In a Child's Name,DVDR,,
Crime|Thriller ,2013,The Call,DVDR,,
Comedy|Romance ,2011,New Year's Eve,DVDR,,
Drama,2007,Things We Lost in the Fire,DVD,,
Crime|Drama|Mystery|Thriller,2007,Perfect Stranger,DVD,Yes,
Drama|Romance,2005,Their Eyes Were Watching God,DVD,Yes,
Action|Crime,2004,Catwoman,TV,NA,
Action|Adventure|Thriller,2002,Die Another Day,DVD,Yes,2-DVDs
Drama|Romance,2001,Monster's Ball,DVD,Yes,
Action|Thriller|Crime,2001,Swordfish,DVD,Yes,
Drama|Adventure|Comedy,1996,Race the Sun,TV,NA,
Action|Adventure|Thriller ,1996,Executive Decision,DVD,No,
Comedy|Romance,1992,Boomerang,TV,NA,
Action|Comedy|Mystery|Thriller,1991,The Last Boy Scout,DVD,No,
Comedy|Romance,2011,Manuale d'am3re ,DVDR,,
Action|Adventure|Comedy|Crime|Thriller,2007,Shoot 'Em Up,DVDR,Yes,
Comedy|Drama|Romance,2005,How Much Do You Love Me?,DVD,Yes,
Adventure|Comedy|Fantasy|Thriller,2005,The Brothers Grimm,DVD,Yes,
Comedy|Drama ,2004,She Hate Me,DVD ,No,
Drama,2004,The Passion of the Christ,DVDR,No,
Action|Adventure|Sci-Fi|Thriller,2003,The Matrix Revolutions,DVDR,,
Action|Adventure|Sci-Fi|Thriller,2003,The Matrix Reloaded,DVDR,,
Action|Drama|Thriller,2003,Tears of the Sun,DVD ,Yes,
Crime|Drama|Mystery|Thriller,2002,Irréversible,DVD ,Yes,
Adventure|Comedy|Family|Fantasy,2002,Astérix & Obélix: Mission Cléopâtre,DVD ,Yes,
Action|History|Horror|Mystery,2001,Brotherhood of the Wolf - Le pacte des loups,DVD,Yes,
Comedy|Drama|Romance|War,2000,Malèna,DVD ,Yes,
Crime|Drama|Thriller,2000,Under Suspicion,DVD,Yes,
Drama|Mystery|Romance ,1996,L' appartement ,TV,NA,
Horror|Romance,1992,Dracula,DVD,Yes ,2-DVD
Drama,2008,The Other Man,DVDR,No,
Action|Comedy|Romance ,2008,My Mom's New Boyfriend/Homeland Security,DVDR,,
Action|Crime|Thriller ,2003,Once Upon a Time in Mexico,TV,NA,
Action|Thriller,2002,Ballistic,TV ,NA,
Biography|Drama,2002,Frida,DVD,Yes,
Thriller|Crime|Fantasy,2002,Femme Fatale,TV  ,NA,
Thriller|Drama|Romance,2001,Original Sin,DVD ,Yes,
Drama|Romance|Thriller,2001,The Body,DVD ,Yes,
Comedy|Drama|Sport,1999,Play It to the Bone,DVDR,,
Action|Adventure|Comedy|Romance|Western,1998,The Mask of Zorro,TV,NA,
Action|Thriller|Crime,1995,Assassins,TV,NA,
Action|Crime|Thriller,1995,Desperado,TV,NA,
Drama,1993,Outrage,DVD,Yes,
Crime|Drama|Thriller ,2013,Prisoners ,DVDR,,
Comedy,2013,Grown Ups 2,DVD,,
Thriller,2011,Carjacked,DVD,Yes,
Action|Drama|Mystery,2011,Abduction                                              ,DVD,No,
Drama,2010,Beautiful Boy,DVD,,
Comedy,2010,Grown Ups,DVD,Yes,
Drama,2010,The Company Men,DVD,No,
Drama|Romance,2009,The Private Lives of Pippa Lee,DVD,Yes,
Action|Adventure|Fantasy|Thriller,2008,The Mummy: Tomb of the Dragon Emperor,DVD,Yes,
Drama|Romance,2007,The Jane Austen Book Club,DVD,Yes,
Drama,2007,Nothing Is Private/Towelhead,DVD,Yes,
Crime|Drama|Thriller,2007,Butterfly on a Wheel,DVD,Yes,
Adventure|Drama|Family,2006,Flicka,DVD,Yes,
Drama|History,2006,World Trade Center,DVD,Yes,2-DVDs
Comedy|Drama,2005,Thank You for Smoking,DVD,Yes,
Action|Crime|Drama|Thriller,2005,A History of Violence,DVD ,Yes,
Horror|Mystery|Thriller,2005,The Dark,DVD ,Yes,
Action|Drama|Crime|Thriller,2005,Assault on Precinct 13,DVD,Yes,
Comedy|Drama|Mystery|Thriller,2004,Silver City,DVDR ,,
Horror|Mystery|Thriller,2004,Secret Window,DVD,Yes,
Drama|Romance|Comedy,2003,The Cooler,DVD,Yes,
Comedy,2002,100 Mile Rule,DVD,Yes,
Biography|Drama,2002,Auto Focus,DVD ,Yes,
Comedy|Drama|Music,2000,Duets,TV,NA,
Comedy|Drama|Romance|Music,2000,Coyote Ugly,DVD,Yes,
Comedy|Drama,2000,Sam the Man,DVD,No,
"Action, Crime, Drama ",1999,Payback,DVD,Yes,
Biography|Drama|Romance,1998,Permanent Midnight,DVD,No,
Drama,2011,Finding a Family,DVDR,,
Drama|Thriller,2006,Earthquake 10.5 part II,DVD,No,2-DVD
Action|Drama|Horror,2004,Earthquake 10.5,DVD,No,2-DVD
Drama,2004,Infidelity,TV,NA,
Drama|Thriller|Horror,1997,Devil's Child,DVD,Yes,
Action|Crime|Thriller ,2012,Jack Reacher,DVD,Yes,
Comedy|Drama|Musical ,2012,Rock of Ages,DVD,Yes,
Action|Adventure|Thriller,2011,Mission: Impossible - Ghost Protocol,DVD,Yes,
Action|Adventure|Comedy,2010,Knight and Day,DVD,No,
Drama|History|Thriller|War  ,2008,Valkyrie,DVD,Yes,
"Drama, History, Thriller ",2007,Lions for Lambs,DVD  ,Yes,
Action|Adventure|Thriller,2006,Mission: Impossible III,DVD  ,Yes,
Action|Adventure|Sci-Fi|Thriller,2005,War of the Worlds,DVD   ,Yes,2-DVDs
Crime|Drama|Thriller,2004,Collateral,DVD,Yes,2-DVDs
Action|Adventure|Drama|War,2003,The Last Samurai,DVD  ,Yes,2-DVDs
Action|Crime|Mystery|Sci-Fi|Thriller,2002,Minority Report,DVD  ,Yes,2-DVDs
Drama|Mystery|Romance|Sci-Fi|Thriller,2001,Vanilla Sky,DVD  ,Yes,
Action|Adventure|Thriller,2000,Mission: Impossible II,DVD  ,Yes,
Drama,1999,Magnolia,DVD  ,No,
Drama|Mystery|Thriller,1999,Eyes Wide Shut,DVD  ,Yes,
Comedy|Drama|Romance|Sport,1996,Jerry Maguire,DVD  ,No,
Action|Adventure|Thriller,1996,Mission: Impossible,DVD  ,Yes,
Drama|Horror|Fantasy,1994,Interview with the Vampire,DVD  ,No,
Thriller|Drama,1993,The Firm ,DVD  ,Yes,
Crime|Drama|Mystery|Thriller,1992,A Few Good Men,DVD  ,Yes,
Adventure|Drama|Romance,1992,Far and Away,DVD  ,Yes,
Action|Drama|Romance|Sport,1990,Days of Thunder,DVD   ,Yes,
Biography|Drama|War,1989,Born on the Fourth of July,DVD  ,Yes,
Drama,1988,Rain Man,DVD   ,Yes,
Drama|Romance,1988,Cocktail,DVD  ,No,
Drama|Sport,1986,The Color of Money,DVD  ,No,
Action|Drama|Romance,1986,Top Gun,DVD  ,No,
Fantasy|Adventure|Romance,1985,Legend,TV,NA,
Drama|Romance|Sport,1983,All the Right Moves,TV ,NA,
Comedy,1983,Risky Business,DVD  ,No,
Crime|Drama,1983,The Outsiders,DVD  ,Yes,
Drama,1981,Taps,DVD  ,No,
Action|Adventure|Fantasy,2013,Man of Steel,DVDR,,
Horror|Thriller,2009,The New Daughter             ,DVDR,,
Comedy|Drama ,2008,Swing Vote                   ,DVD,No,
Crime|Drama|Mystery|Thriller  ,2007,Mr. Brooks                   ,DVDR,No,
Action|Adventure|Drama,2006,The Guardian                 ,DVDR,NA,
Comedy|Romance ,2005,Rumor Has It...                   ,TV,NA,
Drama|Comedy|Romance,2005,The Upside of Anger          ,DVDR,,
Drama|Romance|Western,2003,Open Range                   ,DVDR,,
Drama|Fantasy|Mystery|Romance,2002,Dragonfly                    ,DVD,Yes,
Action|Comedy|Crime|Thriller,2001,3000 Miles to Graceland      ,DVDR,,
Drama|History|Thriller ,2000,Thirteen Days                ,TV,NA,
Drama|Romance|Sport,1999,For Love of the Game         ,,,
Action|Adventure|Drama|Sci-Fi,1997,The Postman                  ,,,
Comedy|Drama|Romance|Sport,1996,Tin Cup                      ,TV,NA,
Action|Adventure|Sci-Fi|Thriller ,1995,Waterworld                   ,DVDR,,
Adventure|Drama|War,1994,The War                      ,,,
Action|Adventure|Biography|Romance ,1994,Wyatt Earp                   ,,,
Crime|Drama|Thriller,1993,A Perfect World              ,DVDR,,
Romance|Drama|Thriller|Music   ,1992,The Bodyguard                ,DVDR,,
Biography|Drama|History|Mystery  ,1991,JFK                          ,DVDR,Yes,Bonus DVDR
Biography|Drama|History|Mystery,1991,Robin Hood: Prince of Thieves,DVDR,,
Adventure|Drama|Western,1990,Dances with Wolves           ,DVD,Yes,3-DVDs
Crime|Drama|Romance|Thriller ,1990,Revenge                      ,DVDR,,
Drama|Family|Fantasy|Sport,1989,Field of Dreams              ,DVDR,,
Crime|Drama   ,1989,The Gunrunner ,,,
Comedy|Romance|Sport,1988,Bull Durham                  ,TV,NA,
Action|Drama|Mystery|Thriller,1987,No Way Out                   ,DVDR,,
Crime|Drama|History|Thriller ,1987,The Untouchables             ,,,
Crime|Horror,1986,Shadows Run Black            ,,,
Drama|Sport,1985,American Flyers              ,,,
"Action, Crime, Drama ",1985,Silverado                    ,,,
Comedy,1985,Fandango                     ,,,
Drama|Sci-Fi,1983,Testament                    ,,,
Drama,1983,Stacy's Knights              ,,,
Drama|Romance,1983,Table for Five               ,,,
Drama,1982,Chasing Dreams               ,,,
Crime|Drama ,2010,The American,DVDR,No,
Comedy|War,2009,The Men Who Stare at Goats,DVDR,,
Comedy|Drama|Romance,2009,Up in the Air,DVDR,,
Comedy|Crime|Drama ,2008,Burn After Reading,DVD,Yes,
Comedy|Drama|Romance,2008,Leatherheads,DVDR,,
Crime|Drama|Mystery|Thriller,2007,Michael Clayton,DVD,,
Comedy|Crime|Thriller,2007,Ocean's Thirteen,DVD,Yes,
Drama|Mystery|Thriller,2006,The Good German,DVD,,
Drama|Thriller,2005,Syriana,DVDR,Yes,
Drama|History ,2005,"Good Night, and Good Luck",DVD,Yes,
Comedy|Romance|Crime,2003,Intolerable Cruelty,TV,NA,
Biography|Crime|Drama|Thriller,2002,Confessions of a Dangerous Mind,TELE2,No,
Drama|Mystery|Romance|Sci-Fi,2002,Solaris,TV,NA,
Comedy|Crime|Thriller,2001,Ocean's Eleven,DVD,Yes,
Adventure|Drama|Action|Thriller,2000,The Perfect Storm,DVD ,Yes,
Action|Adventure|Comedy|Drama|History|War,1999,Three Kings,TV,NA,
Drama|War,1998,The Thin Red Line,DVDR,,
"Crime, Drama, Romance",1998,Out of Sight,DVDR,,
Action|Thriller,1997,The Peacemaker,DVDR, ,
Comedy|Family|Romance,1996,One Fine Day,DVD,,
Action|Horror|Thriller,1996,From Dusk Till Dawn,TV,NA,
Drama,1989,Red Surf,DVDR,,
Comedy,2011,I Don`t Know How She Does It,DVDR,,
Drama|Mystery|Thriller ,2010,The Ghost Writer,DVDR,No,
Comedy|Musical|Romance,2008,Mamma Mia!,DVD,Yes,
Action|Comedy|Crime ,2004,After the Sunset,TV,NA,
Drama|Thriller ,2001,The Tailor of Panama ,TV,NA,
Comedy|Crime|Drama|Romance|Thriller,1999,The Thomas Crown Affair,TV,NA,
Action,1999,Tomorrow Never Dies,TV,NA,
Biography|Drama|Sport                  ,2009,The Blind Side                        ,DVDR,,
Comedy                                 ,2009,All About Steve                       ,DVDR,No,
Comedy|Drama|Romance                   ,2009,The Proposal                          ,DVDR,No,
Drama|Fantasy|Horror|Mystery|Thriller,2007,Premonition                           ,TELE2,NA,
Drama|Fantasy|Romance                  ,2006,The Lake House                        ,DVDR,,
Action|Comedy|Crime                    ,2005,Miss Congeniality 2: Armed & Fabulous ,TV,NA,
Drama|Romance                          ,2005,Loverboy                              ,,,
Crime|Drama                            ,2004,Crash                          ,DVDR,,
Comedy|Romance                         ,2002,Two Weeks Notice                      ,,,
Drama                                  ,2002,Divine Secrets of the Ya-Ya Sisterhood,DVD,,
Crime|Drama|Thriller                   ,2002,Murder by Numbers                     ,DVDR,,
Drama                                  ,2000,28 Days                               ,TV,NA,
Comedy|Crime|Romance                   ,2000,Gun Shy                               ,DVDR,No,
Comedy|Romance                         ,1999,Forces of Nature                      ,DVDR,Yes,
Comedy|Fantasy|Romance                 ,1998,Practical Magic                       ,,,
Drama|Romance                          ,1998,Hope Floats                           ,DVDR,,
Action|Romance|Thriller                ,1997,Speed 2: Cruise Control               ,DVDR,,
Biography|Drama|Romance|War            ,1996,In Love and War                       ,,,
Crime|Drama|Thriller                   ,1996,A Time to Kill                        ,DVD,Yes,
Comedy|Romance                         ,1996,Two If by Sea                         ,,,
Action|Crime|Drama|Thriller            ,1995,The Net                               ,,,
Comedy|Romance                         ,1995,While You Were Sleeping               ,TV,NA,
Comedy                                 ,1994,Who Do I Gotta Kill?                  ,,,
Action|Crime|Thriller                  ,1994,Speed                                 ,DVDR,,
Drama|Romance                          ,1993,Wrestling Ernest Hemingway            ,,,
Action|Adventure                       ,1993,Fire on the Amazon                    ,DVDR,,
Action|Crime|Sci-Fi                    ,1993,Demolition Man                        ,,,
Drama|Comedy|Romance|Music             ,1993,The Thing Called Love                 ,,,
Drama|Comedy                           ,1993,When the Party's Over                 ,,,
Drama|Mystery|Thriller                 ,1993,The Vanishing                         ,,,
Comedy|Romance                         ,1992,Love Potion No. 9                     ,,,
Comedy                                 ,1989,"Religion, Inc.                        ",,,
Comedy                                 ,1989,Who Shot Patakango?                   ,,,
Action|Thriller|Adventure              ,1987,Hangmen                               ,,,
Drama|Romance ,2007,The Jane Austen Book Club,DVD,Yes,
Crime|Drama|Thriller,2007,88 Minutes,DVD ,No,
Drama,2005,Nine Lives,DVD ,No,
Drama,2003,Off the Map,DVD,No,
Drama|Romance,2000,Things You Can Tell Just by Looking at Her,DVD,No,
Comedy|Drama,1998,Your Friends & Neighbors,DVD,No,No dutch subtitles
Comedy|Drama,1997,Lesser Prophets,DVD,Yes,
Drama|Horror|Thriller ,1996,Fear,DVD,No,
Action|Crime|Drama|Thriller,1995,Heat,DVD,No,
Comedy,1995,Bye Bye Love,DVD,No,
Action|Mystery|Thriller,2011,Hanna,DVDR,,
Drama|Fantasy|Mystery|Romance,2008,The Curious Case of Benjamin Button,DVDR,Yes,2-DVDs
Action|Adventure|Thriller,2008,Indiana Jones and the Kingdom of the Crystal Skull ,DVDR,,
Biography|Drama|History|Romance ,2007,Elizabeth: The Golden Age,DVD,Yes,
Drama,2006,Notes on a Scandal,DVD,Yes,
Drama|Mystery|Thriller,2006,The Good German,DVD,,
Drama,2006,Babel,DVD  ,Yes,
Crime|Drama|Romance|Thriller,2005,Little Fish,DVD,Yes,
Action|Adventure|Fantasy ,2003,The Lord of the Rings: The Return of the King,TV,NA,
Adventure|Thriller|Western,2003,The Missing,DVD,Yes,
Biography|Crime|Drama|Thriller,2003,Veronica Guerin,DVD,Yes,
Action|Adventure|Fantasy,2002,The Lord of the Rings: The Two Towers,TV,NA,
Crime|Drama|Romance|Thriller,2002,Heaven,DVD,Yes,
Drama|Romance,2001,The Shipping News,DVD,Yes,
Drama|Romance|Thriller|War,2001,Charlotte Gray,DVDR,Yes,
Action|Adventure|Fantasy,2001,The Lord of the Rings: The Fellowship of the Ring,TV,NA,
Comedy|Crime|Drama|Romance ,2001,Bandits,DVD,Yes,
Horror|Mystery|Thriller,2000,The Gift,DVD,Yes,
Drama|Music|Romance|War,2000,The Man Who Cried,DVD,,
Crime|Drama|Mystery|Romance|Thriller,1999,The Talented Mr. Ripley,TV,NA,
Biography|Drama|History|Romance,1998,Elizabeth ,DVD,Yes,
Drama|Romance,1997,Oscar and Lucinda,DVD,No,
Biography|Comedy|Drama ,2012,Hyde Park on Hudson,DVDR,,
Comedy,2011,The Details,,,
Drama,2010,Morning,,,
Biography|Drama|History,2008,John Adams               ,7-DVDRs,,TV mini-series
Drama,2008,The Other Man,DVDR,No,
Drama,2007,The City of Your Final Destination ,DVDR,Yes,
Comedy|Drama|Romance,2007,The Nanny Diaries,DVDR,,
Crime|Drama|Thriller,2007,Breach                      ,DVD ,,
Comedy|Drama,2007,The Savages                  ,DVDR,Yes,
Crime|Drama|Mystery ,2006,Jindabyne                      ,DVDR,,
Comedy|Drama|Romance ,2006,Man of the Year               ,2-DVD,Yes,
Drama|Music|Romance ,2006,The Hottest State                 ,,,
Comedy|Drama,2006,Driving Lessons           ,,,
Crime|Drama|Horror ,2005,The Exorcism of Emily Rose           ,DVD,Yes,
Comedy|Drama,2005,The Squid and the Whale           ,DVDR,Yes,
Biography|Drama,2004,Kinsey                     ,DVD,Yes,
Comedy|Drama|Fantasy ,2004,P.S A Simple Twist of Fate,,,
Comedy|Drama|Romance,2003,Love Actually                    ,DVD,Yes,
Crime|Drama|Mystery ,2003,Mystic River               ,DVD ,,
Drama|Crime|Thriller ,2003,The Life of David Gale      ,DVDR,,
Drama|Horror|Mystery|Sci-Fi|Thriller,2002,The Mothman Prophecies,DVD,Yes,2-DVDs
Drama|Crime ,2002,The Laramie Project ,,,
Drama,2001,Wild Iris,,,
Romance|Drama ,2000,The House of Mirth         ,,,
Drama,2000,You Can Count on Me          ,DVDR,,
Drama|Romance ,2000,Maze                              ,,,
Comedy|Drama,2001,Running Mates,,,
Comedy|Drama ,1999,Lush               ,,,
Comedy|Drama|Sci-Fi ,1998,The Truman Show             ,DVDR,,
Crime|Drama|Thriller,1997,Absolute Power               ,DVDR,,
Drama|Thriller|Crime,1996,Primal Fear,DVD                           ,Yes,
Action|Adventure|Mystery ,1995,Congo                      ,DVD ,Yes,
Drama|Comedy ,1994,A Simple Twist of Fate           ,,,
Comedy|Drama,1993,Searching for Bobby Fischer ,,,
Comedy|Romance ,1993,Dave                                                   ,DVD,Yes,
Drama,1992,Lorenzo's Oil                     ,DVDR,Yes,
Adventure|Fantasy|Mystery ,2009,The Imaginarium of Doctor Parnassus,DVDR,,
Biography|Drama|Music,2007,I'm Not There,DVD,Yes,
Drama|Romance,2006,Candy,DVD,Yes,
Adventure|Comedy|Drama|Romance,2005,Casanova,DVD ,Yes,
Drama|Romance,2005,Brokeback Mountain,DVD ,Yes,2-DVDs
Action|Biography|Drama|Sport,2005,Lords of Dogtown,DVD ,Yes,
Action|Horror|Mystery|Thriller,2003,The Sin Eater,DVD ,Yes,
Adventure|Drama|War,2002,The Four Feathers,,,
Action|Adventure|Comedy|Romance,2001,A Knight's Tale,DVD ,Yes,
Action|Drama|War,2000,The Patriot,DVDR,No,
Comedy|Romance,1999,10 Things I Hate About You,TV ,NA,
Adventure,1997,Paws,TV ,NA,
Action|Drama|Thriller,2012,Missing ,DVDR,,
Drama|Family,2011,Dolphin Tale,DVD,Yes,
Comedy|Crime ,2011,Flypaper,DVDR,,
Comedy|Family|Fantasy ,2010,Tooth Fairy,DVD,Yes,
Drama,2009,Crossing Over,DVD,Yes,
Drama,2009,Helen,DVDR,,
Drama|Horror|Thriller ,2006,Bug,DVD,Yes,
Drama|Romance,2006,Come Early Morning,DVD,Yes,No subtitles
Biography|Drama|Music|Musical|Romance,2004,De-Lovely,DVD,Yes,Contains soundtrack CD
Crime|Drama|Mystery|Thriller,2004,Twisted,DVD  ,Yes,
Crime|Thriller,2002,High Crimes,DVD,Yes,
Comedy|Romance,2001,Someone Like You,DVD ,Yes,
Comedy|Drama|Romance,2000,Where the Heart Is,DVD,Yes,
Thriller|Drama|Mystery|Crime,1999,Double Jeopardy,DVD,Yes,
Thriller|Mystery,1999,Eye of the Beholder,DVD ,Yes,
Drama,1998,Simon Birch,DVD ,No,
Crime|Drama|Mystery|Thriller,1997,Kiss the Girls,DVD,Yes,
Drama,1997,The Locusts,DVD ,Yes,NTSC
Crime,1996,Ñormal Life,DVD ,No,NTSC
Biography|Drama,1996,Norma Jean & Marilyn,DVD,No,
Comedy|Drama,1995,Smoke,DVD,No,
Drama|Mystery|Thriller,1995,The Passion of Darkly Noon,DVD  ,Yes,
Drama|Romance ,1993,Ruby in Paradise,DVD  ,,Spaans
Action|Comedy|Crime,1992,Kuffs,DVD ,No,NTSC
Drama|Thriller,2012,Arbitrage,DVD,Yes,
Action|Crime|Drama ,2011,The Double,DVD,Yes,
Adventure|Biography|Drama|Romance,2009,Amelia,DVD,Yes,
Drama|Family,2009,Hachi: A Dog's Tale,DVD,No,
Action|Crime|Drama ,2009,Brooklyn's Finest,DVD,Yes,
Drama|Romance,2008,Nights in Rodanthe,DVD,Yes,
Adventure|Comedy|Drama|Thriller|War,2007,The Hunting Party,DVD,Yes,
Crime|Drama|Mystery|Thriller,2007,The Flock,DVD,Yes,
Comedy|Drama,2006,The Hoax,DVD                                      ,Yes,
Drama,2005,Bee Season,DVD                                           ,Yes,
Comedy|Drama|Romance ,2004,Shall We Dance,DVD                                           ,Yes,
Crime|Drama|Musical  ,2002,Chicago,DVD                                           ,Yes,Bonus DVDR
Drama|Thriller,2002,Unfaithful,DVD                                  ,Yes,
Drama|Horror|Mystery|Sci-Fi|Thriller,2002,The Mothman Prophecies,DVD,Yes,2-DVDs
Comedy|Romance|Drama,2000,Dr T and the Women,DVD                    ,Yes,
Romance|Drama,2000,Autumn in New York,DVD                           ,Yes,
Comedy|Romance,1999,Runaway Bride,DVD                               ,No,
The Jackal,1997,The Jackal,DVD                                      ,Yes,
Crime|Drama|Thriller,1997,Red Corner,DVD                            ,Yes,
Adventure|Drama|Romance,1995,First Knight,DVD                       ,Yes,
Drama|Romance,1993,Mr. Jones,DVD                                    ,Yes,
Drama|Mystery|Romance,1993,Sommersby,DVD                            ,No,
Drama|Romance|Thriller,1992,Final Analysis,DVD                      ,No,
Drama,1991,Rhapsody in August/Hachi-gatsu no kyôshikyoku,DVD                      ,Yes,
Comedy|Drama|Romance,1990,Pretty Woman,DVD                          ,Yes,
Crime|Thriller|Drama,1990,Internal Affairs,DVD                      ,No,
Action|Crime|Drama,1988,Miles from Home,DVD                         ,Yes,
Action|Crime|Thriller,1986,No Mercy,DVD                             ,Yes,
Crime|Drama|Music,1984,The Cotton Club,DVD                          ,No,
Action|Drama|Romance|Thriller,1983,Breathless,DVD                   ,Yes,
Drama|Romance,1982,An Officer and a Gentleman,DVD                   ,Yes,
Drama|Crime|Romance|Thriller,1980,American Gigolo,DVD               ,Yes,
Romance|Drama|War,1979,Yanks,DVD                                    ,No,
Drama|Romance ,1978,Days of Heaven,DVDR,,
Drama|History|War ,2012,For Greater Glory: The True Story of Cristiada,,,
Action|Drama|War ,2011,5 Days of War,DVDR,,
Comedy|Drama,2009,City Island,DVDR,,
Comedy|Drama|Romance,2009,"New York, I Love You",DVDR,,
Action|Crime|Drama ,2009,La Linea - The Line,DVDR,Yes,
Crime|Drama|Romance|Thriller,2007,The Air I Breathe,DVDR,,
Action|Crime|Drama,2006,Smokin' Aces,DVDR,,
Drama,2005,The Lost City,DVD ,Yes,
Comedy|Crime|Thriller,2004,Ocean's Twelve,DVD ,Yes,2-DVDs
Biography|Drama,2004,Modigliani,DVD,No,
Drama,2004,The Lazarus Child,DVDR,,
Crime|Drama|Mystery|Thriller,2004,Twisted,DVD,,
Drama,2001,The Man from Elysian Fields,TELE2,No,
Thriller,2001,The Unsaid,TV ,NA,
Comedy|Romance,1999,Just the Ticket,TELE2,No,
Action|Drama|Thriller,1998,Desperate Measures,TV,NA,
Crime|Drama,1996,Night Falls on Manhattan,DVD,Yes,Extra features available on the english version
Crime|Drama|Romance,1995,Things to Do in Denver When You're Dead,TV,NA,
Drama|Romance,1994,When a Man Loves a Woman,TV,NA,
Thriller|Mystery,1992,Jennifer Eight,DVD ,Yes,
Drama|Mystery|Romance|Thriller,1991,Dead Again,TV,NA,
Drama|Thriller,1990,The Godfather: Part III,DVD,Yes,
Drama|Thriller,1990,A Show of Force,DVD ,No,
Action|Crime|Drama,1989,Black Rain,TV ,NA,
Action|Crime|Thriller|Drama|Romance,1988,Blood Money,DVD ,No,
Action|Drama|Sci-Fi ,2013,Elysium ,DVDR,,
Biography|Drama|Romance,2013,Behind the Candelabra,DVDR,,
Drama|Family ,2011,We Bought a Zoo,DVDR,,
Drama,2011,Margaret                                        ,DVDR,,
Drama|Thriller ,2011,Contagion ,DVDR,,
Romance|Sci-Fi|Thriller,2011,The Adjustment Bureau,DVDR,Yes,
Adventure|Drama|Western,2010,True Grit,DVDR,,
Drama|Fantasy,2010,Hereafter ,DVDR,No,
Action|Drama|Thriller|War,2010,The Green Zone,DVDR,Yes,
Comedy|Drama|Thriller ,2009,The Informant!                               ,DVDR,No,
Biography|Drama|History|Sport,2009,Invictus,DVDR,No,
Biography|Drama|History|War,2008,Che: Part Two,DVDR,,
Action|Adventure|Mystery|Thriller,2007,The Bourne Ultimatum,DVD,Yes,
Drama|Thriller,2006,The Good Shepherd,DVDR,,
Crime|Drama|Thriller,2006,The Departed,DVDR,,
Action|Adventure|Mystery|Thriller,2004,The Bourne Supremacy,DVD,,
Comedy Adventure,2004,EuroTrip                                             ,,,
Comedy,2003,Stuck On You                                          ,TV,NA,
Action|Adventure|Mystery|Thriller,2002,The Bourne Identity,DVD,Yes,
Drama,2000,Finding Forrester                       ,TV,NA,
Drama|Romance|Western,2000,All the Pretty Horses                 ,,,
Crime|Drama|Thriller ,1999,The Talented Mr. Ripley,TV,NA,
"Adventure, Comedy, Drama",1999,Dogma,DVDR,,
